Name,Headquarters,Certified Since,Industry,Sector,Operates In,Website
ATIPIK SA,"Canton of Geneva, Switzerland",January 2024,Computer programming services,Service with Minor Environmental Footprint,"Belgium, France, Switzerland, United States",https://www.atipik.ch/
Alvinesa Natural Ingredients S.A.U.,"Castilla La Mancha, Spain",January 2024,Food products,Manufacturing,"Belgium, Brazil, China, France, Germany, Italy, Malaysia, Poland, Spain, Sweden, Taiwan, United Kingdom, United States",https://www.alvinesa.com/
THE ART PLEDGE,"Île-de-France, France",January 2024,General retail via Internet,Wholesale/Retail,"Belgium, Brazil, Colombia, Cuba, Czech Republic, France, Germany, Israel, Italy, Japan, Mexico, Peru, Romania, Russia, Spain, Switzerland, United Arab Emirates, United Kingdom, United States, Zimbabwe",https://www.theartpledge.org/
Meelo,"Nord-Pas-de-Calais, France",January 2024,Data processing & hosting,Service with Minor Environmental Footprint,"Belgium, France, Germany, Italy, Netherlands The, Portugal, Spain",https://www.getmeelo.com/
Odelay Films Ltd,"Greater London, United Kingdom",January 2024,"Film, TV & music production",Service with Minor Environmental Footprint,"Belgium, Bulgaria, Canada, Croatia (Hrvatska), Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands The, Norway, Poland, Spain, Sweden, Switzerland, Turkey, United Arab Emirates, United Kingdom",https://www.odelayfilms.com/
Lepivits,"Walloon Brabant, Belgium",January 2024,Food products,Manufacturing,"Belgium, France, Luxembourg, Netherlands The",https://lepivits.be/fr/
Base Group Inc.,"Brussels-Capital Region, Belgium",January 2024,Other info service activities,Service with Minor Environmental Footprint,"Belgium, United States",https://www.basedesign.com/
Techside Solutions,"Madrid, Spain",January 2024,Other retail sale,Wholesale/Retail,"Belgium, France, Germany, Italy, Spain, United Kingdom, United States",https://techsidesolutions.com/
Ave,"London Borough of Islington, United Kingdom",January 2024,Advertising & market research,Service with Minor Environmental Footprint,"Belgium, France, Germany, United Kingdom, United States",https://avedesign.studio/
Flavor Sampling Ltd.,"United Kingdom, United Kingdom",January 2024,Advertising & market research,Service with Minor Environmental Footprint,"Albania, Andorra, Australia, Austria, Belarus, Belgium, Bulgaria, Canada, Croatia (Hrvatska), Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Luxembourg, Macedonia, Malta, Man (Isle of), Moldova, Monaco, Netherlands The, New Zealand, Norway, Poland, Portugal, Qatar, Romania, San Marino, Saudi Arabia, Slovakia, Spain, Sweden, Ukraine, United Arab Emirates, United Kingdom",https://www.flavorsampling.com/
PROCESS DATA CONTROL CORP,"Texas, United States",January 2024,Environmental consulting,Service with Minor Environmental Footprint,"Australia, Belgium, France, Germany, United States",https://www.pdccorp.com/
Fiorito B.V.,"North Holland, Netherlands The",January 2024,Beverages,Wholesale/Retail,"Aruba, Australia, Belgium, Denmark, Finland, Germany, Iceland, Netherlands The, Norway, Spain, Sweden, Switzerland, United States",https://www.fioritolimoncello.it/
HPB | Het PR Bureau,"North Holland, Netherlands The",January 2024,Social networks & info sharing,Service with Minor Environmental Footprint,"Argentina, Austria, Belgium, Brazil, Bulgaria, Croatia (Hrvatska), Cyprus, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, India, Ireland, Italy, Lithuania, Luxembourg, Malta, Netherlands The, Poland, Portugal, Romania, Slovenia, Spain, Sweden, Switzerland, Turkey, United States",https://www.hetprbureau.com/
Automedi Limited,"Leeds, United Kingdom",January 2024,Other manufacturing,Manufacturing,"Bahamas The, Belarus, Belgium, France, Portugal, United Kingdom, United States",https://www.automedi.co.uk/
BOLSALEA EMBALAJE ETICO Y SOSTENIBLE SL.,"Valencia, Spain",December 2023,Textiles,Wholesale/Retail,"Albania, Algeria, Andorra, Angola, Argentina, Armenia, Australia, Austria, Bahamas The, Bahrain, Bangladesh, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Brunei, Bulgaria, Burundi, Canada, Cape Verde, Chile, Congo, Costa Rica, Croatia (Hrvatska), Cyprus, Czech Republic, Denmark, Djibouti, Ecuador, Egypt, El Salvador, Estonia, Ethiopia, Finland, France, Georgia, Germany, Greece, Guinea-Bissau, Honduras, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malaysia, Mauritania, Mexico, Monaco, Mongolia, Montenegro, Morocco, Netherlands The, Nicaragua, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Romania, San Marino, Saudi Arabia, Serbia, Slovakia, Slovenia, South Korea, Spain, Sweden, Switzerland, Thailand, Tunisia, Ukraine, United Arab Emirates, United Kingdom, United States, Vietnam",https://www.bolsalea.com/
5874 Commerce,"Birmingham, United Kingdom",December 2023,Web portals,Service with Minor Environmental Footprint,"Austria, Belgium, Bulgaria, Croatia (Hrvatska), Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands The, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom, United States",https://5874commerce.com/
Stoov Holding B.V.,"Utrecht, Netherlands The",December 2023,Textiles,Wholesale/Retail,"Belgium, Denmark, France, Germany, Netherlands The, Spain, United Kingdom",https://www.stoov.com/
The Curious Beetle,"London Borough of Harrow, United Kingdom",December 2023,Management consultant - for-profits,Service with Minor Environmental Footprint,"Argentina, Belgium, Brazil, Chile, Colombia, Costa Rica, Ecuador, Italy, Mexico, Netherlands The, Panama, Paraguay, Peru, Portugal, Spain, Switzerland, United Kingdom, United States, Uruguay",https://www.thecuriousbeetle.com/
Route220 Srl Società Benefit,"Lombardy, Italy",December 2023,Electrical equipment,Wholesale/Retail,"Austria, Belgium, Canada, France, Germany, Italy, Netherlands The, Spain, Switzerland, United Kingdom",https://evway.net/
Eunomia Research and Consulting LTD,"City of Bristol, United Kingdom",December 2023,Environmental consulting,Service with Minor Environmental Footprint,"Belgium, New Zealand, United Kingdom, United States",https://www.eunomia.eco/
Forecast Consulting SA,"Brussels-Capital Region, Belgium",December 2023,Management consultant - for-profits,Service with Minor Environmental Footprint,Belgium,http://www.forecast-consulting.com/
Royale Union Saint-Gilloise,"Brussels-Capital Region, Belgium",December 2023,Sports clubs: prof & amateur,Service with Significant Environmental Footprint,Belgium,https://rusg.brussels/en/home-en
AWO Agency,"Devon, United Kingdom",December 2023,Other info service activities,Service with Minor Environmental Footprint,"Belgium, United Kingdom",https://www.awo.agency/
Salacia Solutions,"South Holland, Netherlands The",December 2023,Software publishing and SaaS platforms,Service with Minor Environmental Footprint,"Austria, Belgium, Czech Republic, Denmark, Finland, France, Germany, Netherlands The, Norway, Sweden, Switzerland, United Kingdom",https://www.salaciasolutions.com/
Agilité Solutions,"Paris, France",December 2023,Contracting & building,Service with Significant Environmental Footprint,"Belgium, France, Germany, Italy, Luxembourg, Netherlands The, United Kingdom",https://www.agilitesolutions.com/
Rols Carpets,"Valencia, Spain",December 2023,Textiles,Manufacturing,"Algeria, Andorra, Austria, Bahrain, Belgium, Costa Rica, Croatia (Hrvatska), Denmark, France, Hungary, Italy, Japan, Kuwait, Latvia, Luxembourg, Morocco, New Zealand, Norway, Oman, Philippines, Portugal, Saudi Arabia, Slovenia, Spain, Sweden, Switzerland, United Arab Emirates, United Kingdom, United States",https://www.rolscarpets.com/
D-Carbonize,"Brussels-Capital Region, Belgium",December 2023,Software publishing and SaaS platforms,Service with Minor Environmental Footprint,"Belgium, France, Taiwan, United Arab Emirates, United Kingdom, United States",https://d-carbonize.eu/
Sparks meeting,"Brussels-Capital Region, Belgium",December 2023,Other business support,Service with Significant Environmental Footprint,Belgium,https://sparks-meeting.eu/
LA New Product Development Team,"Louisiana, United States",December 2023,Scientific R&D,Service with Significant Environmental Footprint,"Australia, Belgium, Canada, Denmark, Finland, Germany, Iceland, Italy, Luxembourg, Monaco, Netherlands The, New Zealand, San Marino, Saudi Arabia, Singapore, Sweden, Switzerland, United Arab Emirates, United Kingdom, United States, Zimbabwe",https://lanpdt.com/
Medik8 Ltd,"Hertfordshire, United Kingdom",December 2023,Personal care products,Manufacturing,"Australia, Belgium, Bulgaria, Cyprus, Czech Republic, Ecuador, Estonia, Finland, Greece, Ireland, Latvia, Lithuania, Malta, Mexico, Netherlands The, New Zealand, Peru, Poland, Slovakia, Spain, Sweden, Turkey, Ukraine, United Kingdom, United States",https://www.medik8.com/
"Bloomint Design, S.L.","Catalonia, Spain",December 2023,Architecture design & planning,Service with Minor Environmental Footprint,"Andorra, Austria, Belgium, Czech Republic, Denmark, Finland, France, Germany, Greece, Italy, Luxembourg, Norway, Portugal, Spain, Sweden, Switzerland, United Kingdom, United States",https://bloomintdesign.com/
Resilience Institute Global SA,"Canton of Vaud, Switzerland",December 2023,Other personal services,Service with Minor Environmental Footprint,"Australia, Belgium, China, France, New Zealand, Singapore, Switzerland, United Kingdom, United States",https://www.resiliencei.com/
Bloom & Wild Group,"London Borough of Lambeth, United Kingdom",December 2023,General retail via Internet,Wholesale/Retail,"Austria, Belgium, Denmark, France, Germany, Ireland, Netherlands The, United Kingdom",https://www.bloomandwild.com/
"PICVISA Machine Vision Systems, S.L.U.","Catalonia, Spain",November 2023,Materials recovery & recycling,Manufacturing,"Algeria, Argentina, Australia, Austria, Belarus, Belgium, Bolivia, Bosnia and Herzegovina, Brazil, Canada, Chile, China, Colombia, Costa Rica, Cuba, Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Finland, France, Georgia, Greece, Guatemala, Honduras, Hungary, Iceland, India, Ireland, Italy, Malaysia, Malta, Morocco, Nicaragua, Norway, Pakistan, Panama, Paraguay, Peru, Poland, Portugal, Puerto Rico, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, Thailand, Tunisia, United Arab Emirates, United Kingdom, United States, Venezuela, Vietnam",https://picvisa.com/
ISIGNY SAINTE-MERE,"Normandy, France",November 2023,Agricultural Processing,Manufacturing,"Algeria, Argentina, Australia, Bangladesh, Belgium, Benin, Botswana, Brazil, Cambodia, Chile, Colombia, Cyprus, Czech Republic, Denmark, Egypt, Ethiopia, Finland, France, Germany, Guinea, Iceland, Ireland, Israel, Italy, Japan, Jordan, Kenya, Lebanon, Luxembourg, Malaysia, Mexico, Moldova, Morocco, Netherlands The, Peru, Philippines, Portugal, Qatar, Romania, Saudi Arabia, Senegal, Slovakia, South Africa, South Korea, Spain, Sweden, Taiwan, Thailand, Tunisia, Turkey, Turkmenistan, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States",https://www.isigny-ste-mere.com/
Mantis World Ltd,"City of Westminster, United Kingdom",November 2023,Apparel,Wholesale/Retail,"Austria, Belgium, Czech Republic, Denmark, France, Germany, Greece, Hungary, Ireland, Italy, Luxembourg, Man (Isle of), Netherlands The, Norway, Spain, Sweden, Switzerland, Turkey, United Kingdom",https://www.mantisworld.com/
NOOSA S.A.,"Brussels-Capital Region, Belgium",November 2023,Textiles,Wholesale/Retail,"Belgium, China, France, Germany, Italy, Netherlands The, Portugal, Spain, United Kingdom",https://www.noosafiber.com/
Impacters Group,"London Borough of Lambeth, United Kingdom",November 2023,Management consultant - for-profits,Service with Minor Environmental Footprint,"Austria, Belgium, Canada, Finland, France, Germany, Ireland, Netherlands The, Norway, Portugal, Romania, Spain, Switzerland, United Kingdom, United States",https://www.impactersgroup.com/
Raizers,"Canton of Geneva, Switzerland",November 2023,Other financial services,Service with Minor Environmental Footprint,"Belgium, France, Italy, Luxembourg, Portugal, Spain, Switzerland, Ukraine",https://www.raizers.com/
Mission Control Ltd,"Somerset, United Kingdom",November 2023,Arts & entertainment,Service with Minor Environmental Footprint,"Argentina, Australia, Austria, Bahamas The, Belgium, Brazil, Bulgaria, Canada, Costa Rica, Croatia (Hrvatska), Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Ireland, Italy, Japan, Latvia, Lithuania, Luxembourg, Malta, Mexico, Netherlands The, New Zealand, Norway, Poland, Portugal, Romania, Singapore, Spain, Sweden, Switzerland, Turkey, United Arab Emirates, United Kingdom, United States",https://missioncontrolltd.com/
Fish Tales Holding BV,"North Holland, Netherlands The",November 2023,Food products,Wholesale/Retail,"Belgium, Canada, Germany, Netherlands The, Switzerland, United States",https://www.fish-tales.com/en-us
IU Group N.V.,"Bavaria, Germany",November 2023,Higher education,Service with Significant Environmental Footprint,"Austria, Belgium, Canada, Germany, United Kingdom",https://www.iu-group.com/
BUDDY BUDDY,"Brussels-Capital Region, Belgium",November 2023,Food products,Manufacturing,"Belgium, France",https://www.buddybuddy.bio/
Les comptoirs d'Orta,"Brussels-Capital Region, Belgium",November 2023,Apparel,Manufacturing,"Belgium, France, Portugal",https://www.orta-store.com/fr
NoFrixion Ltd,"County Dublin, Ireland",November 2023,Financial transaction processing,Service with Minor Environmental Footprint,"Austria, Belgium, Bulgaria, Croatia (Hrvatska), Cyprus, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands The, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom",https://www.nofrixion.com/
Magelaan,"East Flanders, Belgium",November 2023,Other info service activities,Service with Minor Environmental Footprint,"Belgium, France, Germany, Netherlands The, United Arab Emirates",https://www.magelaan.be/
Klepper & Klepper,"North Holland, Netherlands The",November 2023,Food products,Wholesale/Retail,"Belgium, Canada, Denmark, Finland, Germany, Ireland, Netherlands The, Norway, Sweden, United Kingdom",https://klepperenklepper.nl/
Home,"City of Bristol, United Kingdom",November 2023,"Other professional, scientific & tech",Service with Minor Environmental Footprint,"Belgium, Canada, China, Denmark, France, Germany, India, Italy, Japan, Netherlands The, New Zealand, Singapore, Switzerland, United Kingdom, United States",https://www.thisishome.co.uk/
Incofin Investment Management,"Antwerp, Belgium",October 2023,Investment advising,Service with Minor Environmental Footprint,"Belgium, Cambodia, Colombia, India, Kenya",https://www.incofin.com/
Funds For Good,"Brussels-Capital Region, Belgium",October 2023,Other financial services,Service with Minor Environmental Footprint,"Belgium, France, Luxembourg, Spain",https://www.fundsforgood.eu/en/
